Numeros_Fecha;Numeros_Fecha
43709;1/09/2019
43800;1/12/2019
43722;14/09/2019
43826;27/12/2019
43724;16/09/2019
43752;14/10/2019
43802;3/12/2019
43830;31/12/2019
43770;1/11/2019
43807;8/12/2019
43738;30/09/2019
43732;24/09/2019
43814;15/12/2019
43739;1/10/2019
43801;2/12/2019
43819;20/12/2019
43764;26/10/2019
43759;21/10/2019
43711;3/09/2019
43735;27/09/2019
43744;6/10/2019
43765;27/10/2019
43749;11/10/2019
43769;31/10/2019
43825;26/12/2019
43725;17/09/2019
43716;8/09/2019
43761;23/10/2019
43774;5/11/2019
43714;6/09/2019
43816;17/12/2019
43753;15/10/2019
43783;14/11/2019
43805;6/12/2019
43755;17/10/2019
43811;12/12/2019
43748;10/10/2019
43747;9/10/2019
43781;12/11/2019
43768;30/10/2019
43713;5/09/2019
43775;6/11/2019
43782;13/11/2019
43763;25/10/2019
43829;30/12/2019
43723;15/09/2019
43806;7/12/2019
43822;23/12/2019
43798;29/11/2019
43767;29/10/2019
43790;21/11/2019
43818;19/12/2019
43710;2/09/2019
43740;2/10/2019
43727;19/09/2019
43784;15/11/2019
43795;26/11/2019
43721;13/09/2019
43780;11/11/2019
43719;11/09/2019
43715;7/09/2019
43728;20/09/2019
43754;16/10/2019
43773;4/11/2019
43733;25/09/2019
43813;14/12/2019
43789;20/11/2019
43779;10/11/2019
43745;7/10/2019
43731;23/09/2019
43817;18/12/2019
43812;13/12/2019
43726;18/09/2019
43746;8/10/2019
43712;4/09/2019
43750;12/10/2019
43756;18/10/2019
43794;25/11/2019
43787;18/11/2019
43717;9/09/2019
43799;30/11/2019
43742;4/10/2019
43743;5/10/2019
43809;10/12/2019
43796;27/11/2019
43815;16/12/2019
43788;19/11/2019
43797;28/11/2019
43741;3/10/2019
43804;5/12/2019
43762;24/10/2019
43720;12/09/2019
43777;8/11/2019
43776;7/11/2019
43820;21/12/2019
43827;28/12/2019
43766;28/10/2019
43828;29/12/2019
43808;9/12/2019
43803;4/12/2019
43791;22/11/2019
43758;20/10/2019
43736;28/09/2019
43760;22/10/2019
43824;25/12/2019
43810;11/12/2019
43718;10/09/2019
43734;26/09/2019
43785;16/11/2019
43823;24/12/2019
43737;29/09/2019
43730;22/09/2019
43729;21/09/2019
43792;23/11/2019
43757;19/10/2019
43751;13/10/2019
43772;3/11/2019
43821;22/12/2019
43771;2/11/2019
43786;17/11/2019
43778;9/11/2019
43793;24/11/2019
