Numeros_Fecha;Numeros_Fecha
43766;28/10/2019
43738;30/09/2019
43790;21/11/2019
43801;2/12/2019
43715;7/09/2019
43815;16/12/2019
43804;5/12/2019
43698;21/08/2019
43732;24/09/2019
43780;11/11/2019
43822;23/12/2019
43808;9/12/2019
43670;24/07/2019
43787;18/11/2019
43776;7/11/2019
43445;11/12/2018
43708;31/08/2019
43694;17/08/2019
43733;25/09/2019
43685;8/08/2019
43783;14/11/2019
43809;10/12/2019
43788;19/11/2019
43668;22/07/2019
43719;11/09/2019
43753;15/10/2019
43785;16/11/2019
43693;16/08/2019
43728;20/09/2019
43727;19/09/2019
43794;25/11/2019
43748;10/10/2019
43724;16/09/2019
43806;7/12/2019
43796;27/11/2019
43704;27/08/2019
43768;30/10/2019
43742;4/10/2019
43746;8/10/2019
43789;20/11/2019
43761;23/10/2019
43775;6/11/2019
43747;9/10/2019
43596;11/05/2019
43798;29/11/2019
43813;14/12/2019
43675;29/07/2019
43504;8/02/2019
43760;22/10/2019
43810;11/12/2019
43686;9/08/2019
43741;3/10/2019
43720;12/09/2019
43716;8/09/2019
43791;22/11/2019
43802;3/12/2019
43754;16/10/2019
43697;20/08/2019
43678;1/08/2019
43781;12/11/2019
43657;11/07/2019
43777;8/11/2019
43756;18/10/2019
43743;5/10/2019
43745;7/10/2019
43710;2/09/2019
43713;5/09/2019
43823;24/12/2019
43811;12/12/2019
43740;2/10/2019
43726;18/09/2019
43706;29/08/2019
43691;14/08/2019
43759;21/10/2019
43705;28/08/2019
43721;13/09/2019
43717;9/09/2019
43769;31/10/2019
43718;10/09/2019
43755;17/10/2019
43784;15/11/2019
43792;23/11/2019
43795;26/11/2019
43677;31/07/2019
43735;27/09/2019
43683;6/08/2019
43692;15/08/2019
43762;24/10/2019
43714;6/09/2019
43803;4/12/2019
43734;26/09/2019
43651;5/07/2019
43707;30/08/2019
43757;19/10/2019
43671;25/07/2019
43782;13/11/2019
43722;14/09/2019
43637;21/06/2019
43662;16/07/2019
43689;12/08/2019
43690;13/08/2019
43682;5/08/2019
43595;10/05/2019
43736;28/09/2019
43797;28/11/2019
43774;5/11/2019
43703;26/08/2019
43700;23/08/2019
43701;24/08/2019
43765;27/10/2019
43763;25/10/2019
43773;4/11/2019
43817;18/12/2019
43712;4/09/2019
43749;11/10/2019
43599;14/05/2019
43750;12/10/2019
43771;2/11/2019
43800;1/12/2019
43699;22/08/2019
43598;13/05/2019
43729;21/09/2019
43680;3/08/2019
43725;17/09/2019
43730;22/09/2019
43731;23/09/2019
43608;23/05/2019
43825;26/12/2019
43711;3/09/2019
43638;22/06/2019
43778;9/11/2019
43767;29/10/2019
43770;1/11/2019
43752;14/10/2019
43673;27/07/2019
43799;30/11/2019
43337;25/08/2018
43652;6/07/2019
43494;29/01/2019
43816;17/12/2019
43687;10/08/2019
43624;8/06/2019
43739;1/10/2019
43764;26/10/2019
43663;17/07/2019
43805;6/12/2019
43758;20/10/2019
43818;19/12/2019
43570;15/04/2019
43744;6/10/2019
43679;2/08/2019
43793;24/11/2019
43812;13/12/2019
43529;5/03/2019
43684;7/08/2019
43422;18/11/2018
43597;12/05/2019
43636;20/06/2019
43820;21/12/2019
43643;27/06/2019
43786;17/11/2019
43826;27/12/2019
43821;22/12/2019
43634;18/06/2019
43737;29/09/2019
43626;10/06/2019
43676;30/07/2019
43512;16/02/2019
43567;12/04/2019
43819;20/12/2019
43591;6/05/2019
43587;2/05/2019
43665;19/07/2019
43593;8/05/2019
43669;23/07/2019
43655;9/07/2019
43620;4/06/2019
43672;26/07/2019
43473;8/01/2019
43481;16/01/2019
43779;10/11/2019
43605;20/05/2019
43542;18/03/2019
43681;4/08/2019
43604;19/05/2019
43664;18/07/2019
43654;8/07/2019
43588;3/05/2019
43590;5/05/2019
43642;26/06/2019
43543;19/03/2019
43674;28/07/2019
43635;19/06/2019
43709;1/09/2019
43632;16/06/2019
43661;15/07/2019
43653;7/07/2019
43498;2/02/2019
43647;1/07/2019
43646;30/06/2019
43650;4/07/2019
43506;10/02/2019
43772;3/11/2019
43660;14/07/2019
43546;22/03/2019
43814;15/12/2019
43659;13/07/2019
43594;9/05/2019
43633;17/06/2019
43514;18/02/2019
43645;29/06/2019
43572;17/04/2019
43688;11/08/2019
43577;22/04/2019
43658;12/07/2019
43607;22/05/2019
43640;24/06/2019
43622;6/06/2019
43702;25/08/2019
43751;13/10/2019
43695;18/08/2019
43723;15/09/2019
43623;7/06/2019
43614;29/05/2019
43610;25/05/2019
43601;16/05/2019
43602;17/05/2019
43627;11/06/2019
43584;29/04/2019
43592;7/05/2019
43565;10/04/2019
43656;10/07/2019
43216;26/04/2018
43649;3/07/2019
43600;15/05/2019
43644;28/06/2019
43571;16/04/2019
43509;13/02/2019
43441;7/12/2018
43648;2/07/2019
43603;18/05/2019
43556;1/04/2019
43508;12/02/2019
43378;5/10/2018
43613;28/05/2019
43589;4/05/2019
43579;24/04/2019
43578;23/04/2019
43641;25/06/2019
43420;16/11/2018
43585;30/04/2019
43560;5/04/2019
43523;27/02/2019
43501;5/02/2019
43696;19/08/2019
43219;29/04/2018
43247;27/05/2018
43807;8/12/2019
43631;15/06/2019
43267;16/06/2018
43487;22/01/2019
43511;15/02/2019
43667;21/07/2019
43582;27/04/2019
43480;15/01/2019
43535;11/03/2019
43405;1/11/2018
43616;31/05/2019
43580;25/04/2019
43493;28/01/2019
43287;6/07/2018
43630;14/06/2019
43628;12/06/2019
43552;28/03/2019
43257;6/06/2018
43486;21/01/2019
43507;11/02/2019
43568;13/04/2019
43666;20/07/2019
43606;21/05/2019
43586;1/05/2019
43629;13/06/2019
43456;22/12/2018
43516;20/02/2019
43510;14/02/2019
43097;28/12/2017
43376;3/10/2018
43466;1/01/2019
43115;15/01/2018
43326;14/08/2018
43403;30/10/2018
43537;13/03/2019
43515;19/02/2019
43503;7/02/2019
43559;4/04/2019
43361;18/09/2018
42984;6/09/2017
43533;9/03/2019
43272;21/06/2018
43496;31/01/2019
43581;26/04/2019
43522;26/02/2019
43477;12/01/2019
43526;2/03/2019
43569;14/04/2019
43073;4/12/2017
43325;13/08/2018
43345;2/09/2018
43517;21/02/2019
43435;1/12/2018
43566;11/04/2019
43220;30/04/2018
43469;4/01/2019
43557;2/04/2019
43425;21/11/2018
43824;25/12/2019
43625;9/06/2019
43271;20/06/2018
43357;14/09/2018
43430;26/11/2018
43502;6/02/2019
43392;19/10/2018
43500;4/02/2019
43343;31/08/2018
43617;1/06/2019
43561;6/04/2019
43538;14/03/2019
43322;10/08/2018
43621;5/06/2019
43532;8/03/2019
43550;26/03/2019
43333;21/08/2018
43434;30/11/2018
43829;30/12/2019
43609;24/05/2019
43545;21/03/2019
43544;20/03/2019
42782;16/02/2017
43352;9/09/2018
43307;26/07/2018
43396;23/10/2018
43406;2/11/2018
43563;8/04/2019
43294;13/07/2018
43432;28/11/2018
43277;26/06/2018
43612;27/05/2019
43340;28/08/2018
43505;9/02/2019
43575;20/04/2019
43519;23/02/2019
43276;25/06/2018
42767;1/02/2017
43530;6/03/2019
43383;10/10/2018
43562;7/04/2019
43442;8/12/2018
43551;27/03/2019
43564;9/04/2019
43558;3/04/2019
43583;28/04/2019
43256;5/06/2018
43521;25/02/2019
43164;5/03/2018
43081;12/12/2017
43314;2/08/2018
43172;13/03/2018
43440;6/12/2018
43489;24/01/2019
43266;15/06/2018
43453;19/12/2018
43495;30/01/2019
43497;1/02/2019
43104;4/01/2018
43488;23/01/2019
42835;10/04/2017
43377;4/10/2018
43451;17/12/2018
43619;3/06/2019
43410;6/11/2018
43615;30/05/2019
43484;19/01/2019
43244;24/05/2018
43290;9/07/2018
43404;31/10/2018
43061;22/11/2017
43499;3/02/2019
43264;13/06/2018
43419;15/11/2018
43379;6/10/2018
43347;4/09/2018
43470;5/01/2019
43525;1/03/2019
42944;28/07/2017
43265;14/06/2018
42955;8/08/2017
43524;28/02/2019
43372;29/09/2018
43520;24/02/2019
43536;12/03/2019
43475;10/01/2019
43474;9/01/2019
43528;4/03/2019
43270;19/06/2018
43286;5/07/2018
43374;1/10/2018
43296;15/07/2018
43227;7/05/2018
43223;3/05/2018
43518;22/02/2019
43402;29/10/2018
43066;27/11/2017
42216;31/07/2015
43539;15/03/2019
